family,father,mother,sex,height,nkids
121,69,62.5,F,62.5,8
121,69,62.5,F,62.5,8
121,69,62.5,F,62,8
122,69,62,F,66,4
122,69,62,F,66,4
123,69.5,61,F,63,5
123,69.5,61,F,62,5
124,69,61,F,63.5,9
124,69,61,F,62,9
124,69,61,F,62,9
125,69,60,F,68,3
125,69,60,F,62.5,3
126,69,60,F,61.7,4
126,69,60,F,60.5,4
128,68.7,70.5,F,61.7,2
129,68.5,67,F,67,3
130,68.5,66.5,F,63.2,11
132,68,65.5,F,64,2
133,68,65.5,F,66.5,7
133,68,65.5,F,65.2,7
133,68,65.5,F,61.5,7
134,68,65,F,68,4
134,68,65,F,66,4
135,68.5,65,F,62,8
135,68.5,65,F,61.5,8
135,68.5,65,F,61,8
135,68.5,65,F,60,8
136,68,64,F,65,10
136,68,64,F,64,10
136,68,64,F,63,10
136,68,64,F,63,10
136,68,64,F,62,10
136,68,64,F,61,10
137,68,64,F,65.5,4
137,68,64,F,62,4
138,68,64,F,62.5,5
139,68,64.5,F,62,1
140,68,64,F,66,10
140,68,64,F,66,10
140,68,64,F,65,10
140,68,64,F,65,10
140,68,64,F,65,10
140,68,64,F,64,10
140,68,64,F,63,10
141,68,63,F,66,8
141,68,63,F,62,8
141,68,63,F,61.5,8
142,68.5,63.5,F,65.5,4
144,68,63,F,64.5,4
144,68,63,F,64,4
145,68,63,F,63,8
145,68,63,F,62,8
145,68,63,F,62,8
146,68,63,F,64,6
146,68,63,F,63.5,6
146,68,63,F,61,6
149,68.2,63.5,F,64.5,5
151,68.7,62,F,61.7,2
153,68,61,F,63.5,5
153,68,61,F,63,5
155,68,60,F,61,7
155,68,60,F,61,7
155,68,60,F,60,7
155,68,60,F,60,7
155,68,60,F,60,7
155,68,60,F,56,7
156,68,60,F,60,4
158,68,59,F,65,10
158,68,59,F,65,10
158,68,59,F,62,10
158,68,59,F,61,10
159,67,66.2,F,65.5,5
159,67,66.2,F,63.5,5
162,67,65,F,65.5,6
162,67,65,F,65,6
162,67,65,F,64.5,6
162,67,65,F,63.5,6
163,67,65.5,F,65.5,5
163,67,65.5,F,65.5,5
163,67,65.5,F,63,5
164,67,65.5,F,63,4
164,67,65.5,F,60,4
165,67,65,F,62,3
165,67,65,F,62,3
166,67.5,65,F,64,11
166,67.5,65,F,64,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,62.5,11
166,67.5,65,F,62,11
168,67,63.5,F,63.5,8
169,67,63,F,63,3
170,67.5,62,F,66,5
172,66,67,F,62,8
172,66,67,F,62,8
172,66,67,F,61.5,8
173,66,67,F,67,9
173,66,67,F,64,9
173,66,67,F,64,9
173,66,67,F,62,9
173,66,67,F,60,9
173,66,67,F,60,9
174,66,66,F,67,5
174,66,66,F,66.5,5
174,66,66,F,65.5,5
175,66,66,F,66,6
175,66,66,F,65,6
175,66,66,F,62,6
175,66,66,F,61,6
176,66.5,65,F,62.5,8
176,66.5,65,F,60.5,8
176,66.5,65,F,60.5,8
176,66.5,65,F,57.5,8
177,66,65.5,F,66,5
177,66,65.5,F,65,5
179,66,63.5,F,64.5,2
179,66,63.5,F,62,2
180,66.5,63,F,65,6
180,66.5,63,F,65,6
180,66.5,63,F,63,6
181,66.5,62.5,F,63.5,7
181,66.5,62.5,F,62.5,7
181,66.5,62.5,F,62.5,7
181,66.5,62.5,F,62.5,7
181,66.5,62.5,F,62.5,7
183,66,60,F,60,4
185,66,59,F,65,15
185,66,59,F,64,15
185,66,59,F,63,15
185,66,59,F,62,15
185,66,59,F,61,15
185,66,59,F,60,15
185,66,59,F,58,15
185,66,59,F,57,15
186,65,67,F,65,4
187,65,67,F,63,1
188,65,66,F,63,4
188,65,66,F,63,4
188,65,66,F,60,4
190,65,65,F,65,9
190,65,65,F,65,9
190,65,65,F,62,9
190,65,65,F,62,9
190,65,65,F,61,9
190,65,65,F,59,9
191,65,65.5,F,65.5,2
192,65,65,F,64.5,6
192,65,65,F,60.5,6
193,65,64,F,64,6
193,65,64,F,64,6
193,65,64,F,62.5,6
193,65,64,F,60.5,6
194,65,63,F,63,2
195,65,63,F,63,3
196,65.5,63,F,63.5,4
197,65.5,60,F,62,5
198,64,64,F,65.5,7
198,64,64,F,64,7
198,64,64,F,62,7
198,64,64,F,62,7
198,64,64,F,61,7
199,64,64,F,67,7
199,64,64,F,65,7
199,64,64,F,64,7
199,64,64,F,64,7
199,64,64,F,60,7
201,64,60,F,60,2
203,62,66,F,62,3
203,62,66,F,61,3
204,62.5,63,F,57,2
136A,68.5,65,F,64,8
136A,68.5,65,F,63.5,8
136A,68.5,65,F,63,8
